Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.WRITE_CONTACTS
free ringtone	6.42404921261	267.797109462	366.980372944	1650	0.421875565666	0.139637873131	0.0574284709193	0.0186086269467
free ringtones	6.42404921261	267.797109462	366.980372944	1650	0.421875565666	0.139637873131	0.0574284709193	0.0186086269467
alarm setting	6.3231905332	237.450668653	329.839500083	1703	0.418570040059	0.122368825185	0.0574284709193	0.0166302230516
alarm	6.32226217667	246.038766439	340.553232947	1703	0.419437644388	0.126235953166	0.0574284709193	0.0171960600195
next alarm	6.32226217667	246.038766439	340.553232947	1703	0.419437644388	0.126235953166	0.0574284709193	0.0171960600195
popular ringtones	6.22484247741	290.979542065	413.924265102	1648	0.412793262154	0.150068392034	0.0574284709193	0.0206643939718
popular ringtone	6.22484247741	290.979542065	413.924265102	1648	0.412793262154	0.150068392034	0.0574284709193	0.0206643939718
late ringtones	6.17391548196	284.503181583	410.757066905	1648	0.409203866037	0.147220032699	0.0574284709193	0.0203816911494
iphone rington	6.04285190952	308.755298847	455.253520347	1647	0.404125307314	0.157870107282	0.0574284709193	0.022397069043
ringtones	6.04285190952	308.755298847	455.253520347	1647	0.404125307314	0.157870107282	0.0574284709193	0.022397069043
different ringtones	6.04285190952	308.755298847	455.253520347	1647	0.404125307314	0.157870107282	0.0574284709193	0.022397069043
best ringtones	6.04285190952	308.755298847	455.253520347	1647	0.404125307314	0.157870107282	0.0574284709193	0.022397069043
ringtone	6.04285190952	308.755298847	455.253520347	1647	0.404125307314	0.157870107282	0.0574284709193	0.022397069043
feeding	5.19913791257	197.895349252	358.846716994	1755	0.355452481948	0.101334333828	0.0574284709193	0.0163210033491
r feed	5.19913791257	197.895349252	358.846716994	1755	0.355452481948	0.101334333828	0.0574284709193	0.0163210033491
news feed	5.19913791257	197.895349252	358.846716994	1755	0.355452481948	0.101334333828	0.0574284709193	0.0163210033491
feed	5.19913791257	197.895349252	358.846716994	1755	0.355452481948	0.101334333828	0.0574284709193	0.0163210033491
live feed	5.18951084107	191.753181638	349.3970035	1755	0.354343742097	0.0984989691796	0.0574284709193	0.0158639242829
entire feed	4.92431703165	167.115158678	326.073623272	1776	0.338846228451	0.0860037337115	0.0574284709193	0.0144579263001
valuable feed	4.92203093252	142.939511972	281.688221647	1776	0.336623118687	0.0744888054469	0.0574284709193	0.0124480456619
twitter feed	4.89281455505	164.995591579	324.806615063	1776	0.336861674654	0.0850056498297	0.0574284709193	0.0143586481778
contact ringtone	4.65727523019	437.144054102	956.683740321	1385	0.313628452418	0.23990641855	0.0574284709193	0.040860336375
contact ringtones	4.65727523019	437.144054102	956.683740321	1385	0.313628452418	0.23990641855	0.0574284709193	0.040860336375
single day	4.20062692548	97.766470346	229.599000015	1861	0.298646250743	0.0499122645941	0.0574284709193	0.00959678325402
new single	4.20062692548	97.766470346	229.599000015	1861	0.298646250743	0.0499122645941	0.0574284709193	0.00959678325402
