Word	increment	TP	FP	FN	Precision	Recall	Permperc	groupkeyperc
android.permission.WRITE_EXTERNAL_STORAGE
document folder	0.206104964502	370.446485535	13.2374437402	26897	0.965499092534	0.0135856683805	0.801653377111	0.0112477699717
music folder	0.205544904082	375.651139251	13.5324003652	26902	0.965228744313	0.0137713887949	0.801653377111	0.0114089921323
folder	0.205016415141	452.946576355	16	26886	0.96588097492	0.0165678137996	0.801653377111	0.0137472612674
played folder	0.205016415141	452.946576355	16.0	26886	0.96588097492	0.0165678137996	0.801653377111	0.0137472612674
new folder	0.205016415141	452.946576355	16.0	26886	0.96588097492	0.0165678137996	0.801653377111	0.0137472612674
free ringtone	0.203624043018	608.447913111	23.4389377386	26624	0.962906432208	0.0223427550491	0.801653377111	0.0185238875132
free ringtones	0.203624043018	608.447913111	23.4389377386	26624	0.962906432208	0.0223427550491	0.801653377111	0.0185238875132
file folder	0.203511272294	864.209743914	35.4531637533	26238	0.960592835993	0.0318870583646	0.801653377111	0.0263737953702
pdf file	0.20084171406	648.109207349	27.6717487707	26489	0.959052192104	0.0238827651979	0.801653377111	0.0198106518562
popular ringtones	0.200623333288	673.162158704	26.8992957273	26621	0.961575808014	0.0246632285245	0.801653377111	0.0205224394474
popular ringtone	0.200623333288	673.162158704	26.8992957273	26621	0.961575808014	0.0246632285245	0.801653377111	0.0205224394474
late ringtones	0.200490739836	663.59251625	26.7127652797	26621	0.961302968419	0.0243211444648	0.801653377111	0.0202364353169
ringtone	0.200085572222	730.990617	29.0	26603	0.961841634158	0.0267429160726	0.801653377111	0.0222792746541
iphone rington	0.200085572222	730.990617	29.0	26603	0.961841634158	0.0267429160726	0.801653377111	0.0222792746541
ringtones	0.200085572222	730.990617	29.0	26603	0.961841634158	0.0267429160726	0.801653377111	0.0222792746541
different ringtones	0.200085572222	730.990617	29.0	26603	0.961841634158	0.0267429160726	0.801653377111	0.0222792746541
best ringtones	0.200085572222	730.990617	29.0	26603	0.961841634158	0.0267429160726	0.801653377111	0.0222792746541
backup file	0.198727962691	620.324294842	27.7486683727	26506	0.957182802018	0.0228679819683	0.801653377111	0.0189983865858
vdo clip	0.198514553532	224.302750342	9.28802972233	27090	0.96023802943	0.0082119156543	0.801653377111	0.00684775973453
particular clip	0.198410346654	226.973386028	9.40768536383	27090	0.960201189933	0.00830887751803	0.801653377111	0.00692955767447
clip	0.198410346654	226.973386028	9.40768536383	27090	0.960201189933	0.00830887751803	0.801653377111	0.00692955767447
new clip	0.198410346654	226.973386028	9.40768536383	27090	0.960201189933	0.00830887751803	0.801653377111	0.00692955767447
file explorer	0.197490932637	706.275706615	31.7948811082	26463	0.956921625605	0.0259953822193	0.801653377111	0.0216366846776
